Date,WECC,CA,GB,PNW,RM,SW
1980-01-01,104593.05,38507.77,12586.23,24340.21,13557.77,16567.95
1980-01-02,108800.98,40273.65,13204.76,26062.7,14038.98,17551.85
1980-01-03,110798.56,40687.43,13354.41,27249.92,14512.6,18235.76
1980-01-04,112635.19,41109.49,13245.75,28093.94,14386.77,18231.21
1980-01-05,107661.54,38730.3,12999.35,26221.58,13957.82,16595.96
1980-01-06,108734.46,38513.21,12997.38,30199.99,13947.47,16332.87
1980-01-07,117123.51,41540.28,13611.46,32375.57,15330.71,17506.91
1980-01-08,117743.47,40946.43,13687.35,31629.67,15295.07,17383.78
1980-01-09,118223.38,41261.58,13399.38,32186.03,14993.16,17414.71
1980-01-10,115433.81,40735.39,13238.52,32110.49,14470.97,16747.61
1980-01-11,116738.31,41083.41,13750.97,30699.71,14619.96,17455.3
1980-01-12,110694.1,39114.84,13338.65,29005.15,14338.87,16188.72
1980-01-13,106354.63,39354.27,12847.61,25645.61,13284.26,15793.88
1980-01-14,110898.28,41516.88,12948.24,26946.09,13557.9,17113.2
1980-01-15,109100.66,40360.33,12906.39,27632.21,13433.83,17163.57
1980-01-16,111706.52,40839.47,13056.49,27715.19,13746.75,17354.25
1980-01-17,110253.44,40823.86,13136.77,27841.36,13955.82,17311.98
1980-01-18,112901.41,40866.44,13285.94,31041.11,13972.41,17227.02
1980-01-19,111279.37,39925.01,13495.45,29026.78,13959.65,16545.42
1980-01-20,112828.32,40428.06,13600.48,27949.48,14740.02,17199.06
1980-01-21,115435.7,42113.58,13628.72,28918.4,14837.14,17814.3
1980-01-22,113561.01,41276.07,13346.26,28721.9,14564.56,17865.22
1980-01-23,113522.4,40894.32,13451.07,27741.06,14849.63,18728.66
1980-01-24,110708.91,40566.31,13429.79,27029.82,14158.91,18560.67
1980-01-25,111827.27,40783.81,13157.72,29337.92,13954.7,18396.73
1980-01-26,112233.08,38983.81,13226.45,32302.34,14784.23,16771.99
1980-01-27,116322.19,39163.41,13493.41,33662.94,15222.68,16946.28
1980-01-28,121185.85,42002.37,13939.98,35147.91,15522.9,17519.32
1980-01-29,122073.87,42049.07,13974.15,35384.24,15997.39,17381.65
1980-01-30,120920.66,42856.01,13964.01,34080.96,15274.9,16970.82
1980-01-31,118878.7,41616.98,13894.25,32106.5,15469.37,17197.82
1980-02-01,113372.55,40155.88,13416.05,29793.0,14546.24,16527.63
1980-02-02,103336.4,37321.84,12642.81,24547.47,13484.67,16130.91
1980-02-03,101915.54,37270.84,12434.95,23574.68,13295.21,16041.24
1980-02-04,105533.44,39710.03,12477.41,25875.26,13222.24,16288.71
1980-02-05,106711.57,39334.51,12666.66,27031.07,13671.85,16337.21
1980-02-06,107833.13,39702.61,12765.21,26136.88,13838.02,16377.33
1980-02-07,105040.3,38093.05,12836.63,25744.01,13731.95,16540.83
